State_Or_UT,Years,Cause,Male_upto_14_years,Male_15_to_29_years,Male_30_to_44_years,Male_45_to_59_years,Male_above_60_years,Total_Male,Female_upto_14_years,Female_15_to_29_years,Female_30_to_44_years,Female_45_to_59_years,Female_above_60_years,Total_Female,Grand_Total,Age_upto_14_years,Age_15_to_29_years,Age_30_to_44_years,Age_45_to_59_years,Age_above_60_years
GOA,2005,Total Illness,0,11,23,15,6,55,0,8,4,9,5,26,81,0,19,27,24,11
GOA,2006,Bankruptcy,0,3,1,5,0,9,0,0,0,0,0,0,9,0,3,1,5,0
GOA,2006,Suspected/Illicit Relation,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
GOA,2006,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2006,Infertility,0,1,0,1,0,2,0,0,0,1,0,1,3,0,1,0,2,0
GOA,2006,Illness (Aids/STD),0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
GOA,2006,Cancer,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
GOA,2006,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2006,Insanity/Mental Illness,0,8,16,8,3,35,0,4,7,6,0,17,52,0,12,23,14,3
GOA,2006,Other Prolonged Illness,0,1,7,4,3,15,0,2,0,2,2,6,21,0,3,7,6,5
GOA,2006,Death of Dear Person,0,0,0,0,1,1,0,1,0,0,0,1,2,0,1,0,0,1
GOA,2006,Dowry Dispute,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2006,Divorce,0,2,0,0,0,2,0,0,0,1,0,1,3,0,2,0,1,0
GOA,2006,Drug Abuse/Addiction,0,1,1,1,0,3,0,0,0,0,0,0,3,0,1,1,1,0
GOA,2006,Failure in Examination,0,2,0,0,0,2,1,2,0,0,0,3,5,1,4,0,0,0
GOA,2006,Fall in Social Reputation,0,7,13,3,0,23,1,11,5,1,4,22,45,1,18,18,4,4
GOA,2006,Family Problems,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2006,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2006,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2006,Love Affairs,0,4,1,0,0,5,0,5,1,0,0,6,11,0,9,2,0,0
GOA,2006,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
GOA,2006,Poverty,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
GOA,2006,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2006,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2006,Unemployment,0,3,5,0,0,8,0,0,0,0,0,0,8,0,3,5,0,0
GOA,2006,Causes Not known,1,20,12,9,5,47,3,10,7,1,4,25,72,4,30,19,10,9
GOA,2006,Other Causes,0,7,12,8,1,28,0,2,1,1,1,5,33,0,9,13,9,2
GOA,2006,Total,1,60,69,40,13,183,6,40,22,13,11,92,275,7,100,91,53,24
GOA,2006,Total Illness,0,10,24,12,6,52,0,6,7,8,2,23,75,0,16,31,20,8
GOA,2007,Bankruptcy,0,1,1,3,0,5,0,0,1,0,0,1,6,0,1,2,3,0
GOA,2007,Suspected/Illicit Relation,0,1,0,0,0,1,0,1,1,0,0,2,3,0,2,1,0,0
GOA,2007,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Illness (Aids/STD),0,0,1,0,1,2,1,0,2,0,0,3,5,1,0,3,0,1
GOA,2007,Cancer,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,1,0
GOA,2007,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Insanity/Mental Illness,1,5,15,5,5,31,0,5,3,5,2,15,46,1,10,18,10,7
GOA,2007,Other Prolonged Illness,0,1,3,2,6,12,0,3,5,3,1,12,24,0,4,8,5,7
GOA,2007,Death of Dear Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Dowry Dispute,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0
GOA,2007,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Drug Abuse/Addiction,0,1,2,2,0,5,0,0,0,0,0,0,5,0,1,2,2,0
GOA,2007,Failure in Examination,0,2,0,0,0,2,0,2,1,0,0,3,5,0,4,1,0,0
GOA,2007,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Family Problems,0,11,10,5,2,28,0,8,5,3,0,16,44,0,19,15,8,2
GOA,2007,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Love Affairs,0,6,1,0,0,7,0,6,1,0,0,7,14,0,12,2,0,0
GOA,2007,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Poverty,0,1,1,1,0,3,1,1,1,0,0,3,6,1,2,2,1,0
GOA,2007,Professional/Career Problem,0,3,2,1,0,6,0,0,0,0,0,0,6,0,3,2,1,0
GOA,2007,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2007,Unemployment,0,0,5,1,0,6,0,1,0,0,0,1,7,0,1,5,1,0
GOA,2007,Causes Not known,0,20,24,9,3,56,0,17,4,2,0,23,79,0,37,28,11,3
GOA,2007,Other Causes,0,2,4,7,1,14,0,0,1,0,1,2,16,0,2,5,7,2
GOA,2007,Total,1,54,69,36,18,178,2,47,25,14,4,92,270,3,101,94,50,22
GOA,2007,Total Illness,1,6,19,7,12,45,1,9,10,9,3,32,77,2,15,29,16,15
GOA,2008,Bankruptcy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Suspected/Illicit Relation,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,2,0,0
GOA,2008,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Infertility,0,1,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0
GOA,2008,Illness (Aids/STD),0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
GOA,2008,Cancer,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
GOA,2008,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Insanity/Mental Illness,0,3,14,5,3,25,1,5,9,2,2,19,44,1,8,23,7,5
GOA,2008,Other Prolonged Illness,0,1,6,4,5,16,0,2,1,1,2,6,22,0,3,7,5,7
GOA,2008,Death of Dear Person,0,1,0,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0
GOA,2008,Dowry Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Drug Abuse/Addiction,0,1,3,0,0,4,0,0,0,1,0,1,5,0,1,3,1,0
GOA,2008,Failure in Examination,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
GOA,2008,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Family Problems,0,3,10,2,0,15,0,13,3,2,2,20,35,0,16,13,4,2
GOA,2008,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Illegitimate Pregnancy,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2008,Love Affairs,0,8,1,0,0,9,0,6,0,0,0,6,15,0,14,1,0,0
GOA,2008,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Poverty,0,1,1,0,1,3,0,1,0,0,0,1,4,0,2,1,0,1
GOA,2008,Professional/Career Problem,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2008,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Unemployment,0,8,8,3,0,19,0,0,0,0,0,0,19,0,8,8,3,0
GOA,2008,Causes Not known,0,13,20,8,5,46,1,18,6,3,3,31,77,1,31,26,11,8
GOA,2008,Other Causes,0,14,18,7,1,40,1,7,4,1,2,15,55,1,21,22,8,3
GOA,2008,Total,0,55,84,29,15,183,3,54,26,10,11,104,287,3,109,110,39,26
GOA,2008,Total Illness,0,4,22,9,8,43,1,7,10,3,4,25,68,1,11,32,12,12
GOA,2009,Bankruptcy,0,4,1,0,0,5,0,0,1,0,0,1,6,0,4,2,0,0
GOA,2009,Suspected/Illicit Relation,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2009,Cancellation/Non-Settlement of Marriage,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
GOA,2009,Infertility,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
GOA,2009,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Insanity/Mental Illness,1,8,10,7,3,29,0,5,8,8,2,23,52,1,13,18,15,5
GOA,2009,Other Prolonged Illness,0,1,7,7,4,19,0,2,0,2,4,8,27,0,3,7,9,8
GOA,2009,Death of Dear Person,0,0,2,0,1,3,0,0,0,0,0,0,3,0,0,2,0,1
GOA,2009,Dowry Dispute,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0
GOA,2009,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Drug Abuse/Addiction,0,1,3,5,2,11,0,0,0,0,0,0,11,0,1,3,5,2
GOA,2009,Failure in Examination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Family Problems,0,5,9,7,1,22,0,18,7,3,0,28,50,0,23,16,10,1
GOA,2009,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Love Affairs,0,6,0,0,0,6,0,4,0,0,0,4,10,0,10,0,0,0
GOA,2009,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Poverty,0,1,1,0,0,2,0,2,0,0,1,3,5,0,3,1,0,1
GOA,2009,Professional/Career Problem,0,1,1,0,0,2,0,1,0,0,0,1,3,0,2,1,0,0
GOA,2009,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Unemployment,0,2,4,5,0,11,0,0,0,0,0,0,11,0,2,4,5,0
GOA,2009,Causes Not known,0,10,16,3,3,32,0,12,4,1,0,17,49,0,22,20,4,3
GOA,2009,Other Causes,0,10,18,10,2,40,2,3,0,0,1,6,46,2,13,18,10,3
GOA,2009,Total,1,50,72,44,17,184,2,48,22,14,8,94,278,3,98,94,58,25
GOA,2009,Total Illness,1,9,17,14,7,48,0,7,8,10,6,31,79,1,16,25,24,13
GOA,2010,Bankruptcy,0,2,6,0,0,8,0,0,0,0,0,0,8,0,2,6,0,0
GOA,2010,Suspected/Illicit Relation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Infertility,0,0,2,0,0,2,0,0,0,1,0,1,3,0,0,2,1,0
GOA,2010,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Cancer,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
GOA,2010,Paralysis,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
GOA,2010,Insanity/Mental Illness,0,4,10,12,5,31,1,6,5,4,5,21,52,1,10,15,16,10
GOA,2010,Other Prolonged Illness,0,1,8,9,4,22,0,0,2,2,4,8,30,0,1,10,11,8
GOA,2010,Death of Dear Person,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2010,Dowry Dispute,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
GOA,2010,Divorce,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
GOA,2010,Drug Abuse/Addiction,0,1,2,2,1,6,0,0,0,0,0,0,6,0,1,2,2,1
GOA,2010,Failure in Examination,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0
GOA,2010,Fall in Social Reputation,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
GOA,2010,Family Problems,1,11,12,9,0,33,0,7,9,1,3,20,53,1,18,21,10,3
GOA,2010,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Love Affairs,0,8,2,1,0,11,0,7,0,0,0,7,18,0,15,2,1,0
GOA,2010,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Poverty,0,2,1,0,1,4,0,0,0,0,0,0,4,0,2,1,0,1
GOA,2010,Professional/Career Problem,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0
GOA,2010,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Unemployment,0,5,4,2,0,11,0,1,0,0,0,1,12,0,6,4,2,0
GOA,2010,Causes Not known,1,20,15,12,1,49,2,12,2,1,3,20,69,3,32,17,13,4
GOA,2010,Other Causes,0,9,16,16,8,49,0,3,2,0,0,5,54,0,12,18,16,8
GOA,2010,Total,2,69,81,63,21,236,3,37,21,9,16,86,322,5,106,102,72,37
GOA,2010,Total Illness,0,5,18,21,10,54,1,6,7,6,10,30,84,1,11,25,27,20
GOA,2011,Bankruptcy,0,0,6,1,0,7,0,0,0,0,0,0,7,0,0,6,1,0
GOA,2011,Suspected/Illicit Relation,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
GOA,2011,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Infertility,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
GOA,2011,Illness (Aids/STD),0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0
GOA,2011,Cancer,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
GOA,2011,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Insanity/Mental Illness,0,6,16,4,2,28,0,4,9,3,2,18,46,0,10,25,7,4
GOA,2011,Other Prolonged Illness,1,1,5,9,3,19,0,3,3,1,5,12,31,1,4,8,10,8
GOA,2011,Death of Dear Person,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
GOA,2011,Dowry Dispute,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2011,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Drug Abuse/Addiction,0,1,3,3,1,8,0,0,0,0,0,0,8,0,1,3,3,1
GOA,2011,Failure in Examination,0,0,0,0,0,0,0,5,0,0,0,5,5,0,5,0,0,0
GOA,2011,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Family Problems,1,9,8,3,5,26,1,9,9,1,0,20,46,2,18,17,4,5
GOA,2011,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Love Affairs,0,3,1,1,0,5,1,5,0,0,0,6,11,1,8,1,1,0
GOA,2011,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Poverty,0,1,2,1,0,4,0,0,0,0,0,0,4,0,1,2,1,0
GOA,2011,Professional/Career Problem,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0
GOA,2011,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Unemployment,0,3,2,1,0,6,0,0,0,0,0,0,6,0,3,2,1,0
GOA,2011,Causes Not known,2,18,24,7,3,54,1,17,3,1,0,22,76,3,35,27,8,3
GOA,2011,Other Causes,1,7,13,9,4,34,0,7,0,2,1,10,44,1,14,13,11,5
GOA,2011,Total,5,52,81,39,18,195,3,51,26,9,9,98,293,8,103,107,48,27
GOA,2011,Total Illness,1,9,21,13,5,49,0,7,12,4,8,31,80,1,16,33,17,13
GOA,2012,Bankruptcy,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
GOA,2012,Suspected/Illicit Relation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Cancellation/Non-Settlement of Marriage,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
GOA,2012,Infertility,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0
GOA,2012,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Cancer,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
GOA,2012,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Insanity/Mental Illness,0,2,8,6,3,19,0,4,1,5,6,16,35,0,6,9,11,9
GOA,2012,Other Prolonged Illness,0,2,6,5,7,20,0,0,6,2,4,12,32,0,2,12,7,11
GOA,2012,Death of Dear Person,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
GOA,2012,Dowry Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Drug Abuse/Addiction,0,1,2,2,0,5,0,0,0,0,0,0,5,0,1,2,2,0
GOA,2012,Failure in Examination,1,2,0,0,0,3,0,0,0,0,0,0,3,1,2,0,0,0
GOA,2012,Fall in Social Reputation,0,4,3,1,1,9,0,0,1,0,0,1,10,0,4,4,1,1
GOA,2012,Family Problems,0,6,16,6,2,30,2,6,6,1,0,15,45,2,12,22,7,2
GOA,2012,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Love Affairs,0,7,4,0,0,11,0,12,6,0,0,18,29,0,19,10,0,0
GOA,2012,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Poverty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Professional/Career Problem,0,1,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0
GOA,2012,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Unemployment,0,2,1,2,0,5,0,0,0,0,0,0,5,0,2,1,2,0
GOA,2012,Causes Not known,1,18,20,8,1,48,1,7,9,1,3,21,69,2,25,29,9,4
GOA,2012,Other Causes,3,7,17,11,1,39,0,7,1,0,1,9,48,3,14,18,11,2
GOA,2012,Total,5,53,78,44,16,196,3,37,30,9,14,93,289,8,90,108,53,30
GOA,2012,Total Illness,0,4,14,11,11,40,0,4,7,7,10,28,68,0,8,21,18,21
GUJARAT,2001,Bankruptcy,0,20,61,33,11,125,0,4,16,6,3,29,154,0,24,77,39,14
GUJARAT,2001,Suspected/Illicit Relation,0,12,16,0,0,28,1,20,6,0,0,27,55,1,32,22,0,0
GUJARAT,2001,Cancellation/Non-Settlement of Marriage,0,29,10,0,0,39,0,25,14,0,0,39,78,0,54,24,0,0
GUJARAT,2001,Infertility,0,3,9,3,0,15,0,18,26,9,0,53,68,0,21,35,12,0
GUJARAT,2001,Illness (Aids/STD),0,4,4,2,0,10,0,1,0,0,0,1,11,0,5,4,2,0
GUJARAT,2001,Cancer,0,2,5,6,8,21,0,0,5,3,2,10,31,0,2,10,9,10
GUJARAT,2001,Paralysis,0,1,4,4,3,12,0,1,2,0,3,6,18,0,2,6,4,6
GUJARAT,2001,Insanity/Mental Illness,0,74,90,32,12,208,3,61,70,43,26,203,411,3,135,160,75,38
GUJARAT,2001,Other Prolonged Illness,1,84,133,99,46,363,5,98,105,57,50,315,678,6,182,238,156,96
GUJARAT,2001,Death of Dear Person,0,9,10,6,0,25,2,20,16,3,3,44,69,2,29,26,9,3
GUJARAT,2001,Dowry Dispute,0,0,0,0,0,0,0,32,8,1,0,41,41,0,32,8,1,0
GUJARAT,2001,Divorce,0,2,5,0,0,7,0,7,2,0,0,9,16,0,9,7,0,0
GUJARAT,2001,Drug Abuse/Addiction,0,4,5,2,1,12,0,1,0,1,0,2,14,0,5,5,3,1
GUJARAT,2001,Failure in Examination,9,38,1,0,0,48,5,29,3,0,0,37,85,14,67,4,0,0
GUJARAT,2001,Fall in Social Reputation,2,12,18,12,1,45,1,17,10,7,0,35,80,3,29,28,19,1
GUJARAT,2001,Family Problems,17,235,222,107,29,610,21,384,184,59,33,681,1291,38,619,406,166,62
GUJARAT,2001,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001,Illegitimate Pregnancy,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0
GUJARAT,2001,Love Affairs,0,56,28,3,0,87,3,67,19,2,0,91,178,3,123,47,5,0
GUJARAT,2001,"Physical Abuse (Rape,Incest Etc.)",0,1,0,0,0,1,0,12,3,0,0,15,16,0,13,3,0,0
GUJARAT,2001,Poverty,2,24,40,13,2,81,2,24,36,20,1,83,164,4,48,76,33,3
GUJARAT,2001,Professional/Career Problem,0,15,22,9,0,46,0,2,5,1,0,8,54,0,17,27,10,0
GUJARAT,2001,Property Dispute,0,4,17,9,2,32,0,0,4,4,1,9,41,0,4,21,13,3
GUJARAT,2001,Unemployment,1,150,85,42,1,279,1,21,24,10,1,57,336,2,171,109,52,2
GUJARAT,2001,Causes Not known,7,191,186,60,16,460,12,143,80,24,17,276,736,19,334,266,84,33
GUJARAT,2001,Other Causes,1,32,48,10,4,95,2,41,19,7,0,69,164,3,73,67,17,4
GUJARAT,2001,Total,40,1002,1019,452,136,2649,58,1030,657,257,140,2142,4791,98,2032,1676,709,276
GUJARAT,2001,Total Illness,1,165,236,143,69,614,8,161,182,103,81,535,1149,9,326,418,246,150
GUJARAT,2002,Bankruptcy,0,23,62,26,3,114,0,7,7,3,1,18,132,0,30,69,29,4
GUJARAT,2002,Suspected/Illicit Relation,0,11,14,2,0,27,0,19,9,0,0,28,55,0,30,23,2,0
GUJARAT,2002,Cancellation/Non-Settlement of Marriage,0,28,13,1,0,42,0,33,8,0,0,41,83,0,61,21,1,0
GUJARAT,2002,Infertility,0,4,6,4,0,14,1,25,28,11,0,65,79,1,29,34,15,0
GUJARAT,2002,Illness (Aids/STD),0,0,3,2,0,5,0,3,4,0,1,8,13,0,3,7,2,1
GUJARAT,2002,Cancer,0,4,9,11,7,31,0,2,6,5,2,15,46,0,6,15,16,9
GUJARAT,2002,Paralysis,0,0,6,6,2,14,0,5,6,4,2,17,31,0,5,12,10,4
GUJARAT,2002,Insanity/Mental Illness,3,91,72,55,19,240,4,50,76,30,28,188,428,7,141,148,85,47
GUJARAT,2002,Other Prolonged Illness,2,62,125,105,34,328,0,88,84,60,33,265,593,2,150,209,165,67
GUJARAT,2002,Death of Dear Person,0,6,7,6,2,21,0,8,6,1,1,16,37,0,14,13,7,3
GUJARAT,2002,Dowry Dispute,0,0,1,0,0,1,0,21,9,0,1,31,32,0,21,10,0,1
GUJARAT,2002,Divorce,0,1,3,1,1,6,0,5,8,1,0,14,20,0,6,11,2,1
GUJARAT,2002,Drug Abuse/Addiction,0,13,22,7,1,43,0,1,2,0,0,3,46,0,14,24,7,1
GUJARAT,2002,Failure in Examination,3,36,3,0,0,42,4,33,1,0,0,38,80,7,69,4,0,0
GUJARAT,2002,Fall in Social Reputation,1,13,17,19,1,51,0,23,17,4,0,44,95,1,36,34,23,1
GUJARAT,2002,Family Problems,7,198,144,76,24,449,16,291,130,56,16,509,958,23,489,274,132,40
GUJARAT,2002,Ideological Causes/Hero Worshipping,0,3,0,0,0,3,0,1,1,0,0,2,5,0,4,1,0,0
GUJARAT,2002,Illegitimate Pregnancy,0,1,0,0,0,1,0,3,0,0,0,3,4,0,4,0,0,0
GUJARAT,2002,Love Affairs,0,73,29,4,0,106,1,78,20,2,0,101,207,1,151,49,6,0
GUJARAT,2002,"Physical Abuse (Rape,Incest Etc.)",0,1,0,1,0,2,0,2,5,1,0,8,10,0,3,5,2,0
GUJARAT,2002,Poverty,0,15,47,31,7,100,1,19,24,15,2,61,161,1,34,71,46,9
GUJARAT,2002,Professional/Career Problem,0,19,27,16,3,65,0,0,2,1,0,3,68,0,19,29,17,3
GUJARAT,2002,Property Dispute,0,1,20,9,2,32,0,2,1,4,1,8,40,0,3,21,13,3
GUJARAT,2002,Unemployment,0,110,108,42,3,263,0,9,28,3,0,40,303,0,119,136,45,3
GUJARAT,2002,Causes Not known,4,243,214,67,29,557,5,174,78,40,12,309,866,9,417,292,107,41
GUJARAT,2002,Other Causes,5,66,44,27,7,149,7,44,30,17,5,103,252,12,110,74,44,12
GUJARAT,2002,Total,25,1022,996,518,145,2706,39,946,590,258,105,1938,4644,64,1968,1586,776,250
GUJARAT,2002,Total Illness,5,157,215,179,62,618,4,148,176,99,66,493,1111,9,305,391,278,128
GUJARAT,2003,Bankruptcy,0,36,50,24,6,116,1,7,3,0,2,13,129,1,43,53,24,8
GUJARAT,2003,Suspected/Illicit Relation,0,11,8,2,0,21,0,11,5,0,0,16,37,0,22,13,2,0
GUJARAT,2003,Cancellation/Non-Settlement of Marriage,0,28,13,1,0,42,0,29,8,0,0,37,79,0,57,21,1,0
GUJARAT,2003,Infertility,0,5,4,4,0,13,0,23,13,5,0,41,54,0,28,17,9,0
GUJARAT,2003,Illness (Aids/STD),0,2,4,1,0,7,0,3,3,1,2,9,16,0,5,7,2,2
GUJARAT,2003,Cancer,0,1,8,3,5,17,1,1,4,4,2,12,29,1,2,12,7,7
GUJARAT,2003,Paralysis,1,5,7,13,6,32,3,10,6,13,6,38,70,4,15,13,26,12
